tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
0,-4.848982,0.007836,0,-0.00631977,0,0.0,-4.689591,0.012934,0.020808,0,0.6841,0.2777,0.0382,507.93,0.0382,0.0174,-5.0024,0.0806,307.60
1,-4.780111,0.008395,0,-0.01139026,0,0.0,-4.534144,0.012338,0.007313,0,0.6372,0.3201,0.0426,510.61,0.0426,0.0160,-5.0047,0.0812,161.80
2,-4.764836,0.008524,0,0.00334049,0,0.0,-4.708241,0.010016,0.004736,0,0.6856,0.2653,0.0491,510.07,0.0491,0.0196,-5.0068,0.0817,226.30
3,-4.713931,0.008969,0,-0.00403356,0,0.0,-4.830439,0.008704,0.003698,0,0.7082,0.2333,0.0585,510.90,0.0585,0.0155,-5.0089,0.0822,161.30
4,-4.784350,0.008360,0,-0.01701013,0,0.0,-4.546382,0.011283,0.004013,0,0.6185,0.3057,0.0758,506.09,0.0758,0.0257,-5.0108,0.0827,159.90
5,-4.829814,0.007988,0,0.00569619,0,0.0,-4.622051,0.010415,0.003548,0,0.6300,0.2842,0.0858,510.64,0.0858,0.0143,-5.0127,0.0832,160.40
6,-4.850455,0.007825,0,-0.00041183,0,0.0,-4.708715,0.009585,0.003377,0,0.5753,0.3011,0.1235,509.17,0.1235,0.0957,-5.0144,0.0836,170.70
7,-4.796534,0.008258,0,0.00377065,0,0.0,-4.792811,0.008770,0.002948,0,0.5790,0.2897,0.1313,510.88,0.1313,0.0173,-5.0161,0.0840,164.90
8,-4.809111,0.008155,0,-0.00592970,0,0.0,-4.829673,0.008397,0.002636,0,0.5818,0.2863,0.1319,511.20,0.1319,0.0131,-5.0177,0.0844,162.90
9,-4.794103,0.008278,0,0.00406617,0,0.0,-4.891592,0.007875,0.002414,0,0.5832,0.2835,0.1332,511.22,0.1332,0.0153,-5.0192,0.0848,162.00
10,-4.745782,0.008688,0,-0.00130155,0,0.0,-4.974371,0.007263,0.002283,0,0.5808,0.2854,0.1338,510.98,0.1338,0.0340,-5.0206,0.0851,160.40
11,-4.772764,0.008457,0,-0.00653697,0,0.0,-4.964057,0.007282,0.002090,0,0.5766,0.2890,0.1344,511.10,0.1344,0.0125,-5.0220,0.0855,163.20
12,-4.801128,0.008220,0,0.00203705,0,0.0,-5.033437,0.006801,0.001980,0,0.5827,0.2884,0.1288,511.16,0.1288,0.0226,-5.0233,0.0858,164.80
13,-4.793509,0.008283,0,0.00639794,0,0.0,-5.020289,0.006852,0.001853,0,0.5773,0.2934,0.1293,511.23,0.1293,0.0124,-5.0245,0.0861,162.50
14,-4.800795,0.008223,0,0.00647121,0,0.0,-5.010851,0.006895,0.001782,0,0.5724,0.2985,0.1291,511.38,0.1291,0.0123,-5.0256,0.0864,162.10
15,-4.886806,0.007545,0,0.00376440,0,0.0,-5.050491,0.006628,0.001719,0,0.5734,0.2998,0.1268,511.46,0.1268,0.0144,-5.0268,0.0867,163.20
16,-4.993146,0.006784,0,-0.00290530,0,0.0,-5.099127,0.006320,0.001668,0,0.5790,0.2992,0.1218,511.51,0.1218,0.0165,-5.0278,0.0869,162.80
17,-5.042331,0.006459,0,0.00744130,0,0.0,-5.057348,0.006557,0.001598,0,0.5671,0.3085,0.1244,510.80,0.1244,0.0130,-5.0288,0.0872,163.60
18,-5.048596,0.006418,0,-0.00200427,0,0.0,-5.108361,0.006245,0.001582,0,0.5752,0.3064,0.1184,511.59,0.1184,0.0214,-5.0298,0.0874,163.40
19,-4.991448,0.006796,0,-0.01456332,0,0.0,-4.941324,0.007351,0.001724,0,0.4967,0.3507,0.1527,503.34,0.1527,0.0390,-5.0307,0.0876,162.60
20,-4.894809,0.007485,0,-0.00046304,0,0.0,-4.984958,0.007046,0.001690,0,0.4480,0.3736,0.1784,510.16,0.1784,0.0765,-5.0315,0.0878,195.40
21,-4.996332,0.006763,0,-0.00608827,0,0.0,-4.990614,0.006995,0.001636,0,0.4513,0.3755,0.1732,511.23,0.1732,0.0128,-5.0303,0.0867,163.20
22,-5.130003,0.005917,0,0.00089629,0,0.0,-5.037599,0.006682,0.001599,0,0.4445,0.3828,0.1727,511.42,0.1727,0.0450,-5.0292,0.0855,172.60
23,-5.112286,0.006022,0,-0.00083559,0,0.0,-5.085551,0.006380,0.001579,0,0.4410,0.3883,0.1707,511.27,0.1707,0.0459,-5.0282,0.0844,172.40
24,-5.047492,0.006425,0,0.00101676,0,0.0,-5.138180,0.006072,0.001594,0,0.4502,0.3885,0.1613,510.16,0.1613,0.0377,-5.0272,0.0834,167.40
25,-5.031976,0.006526,0,0.01518056,0,0.0,-4.966870,0.007159,0.001649,1,0.3649,0.4276,0.2075,484.51,0.2075,0.0506,-5.0000,0.0800,161.10
26,-4.951962,0.007070,0,-0.00113263,0,0.0,-5.011783,0.006847,0.001595,1,0.3634,0.4342,0.2024,508.77,0.2024,0.0393,-5.0000,0.0800,165.50
27,-5.088484,0.006167,0,0.00244752,0,0.0,-5.055160,0.006558,0.001545,1,0.3731,0.4387,0.1882,508.15,0.1882,0.0206,-4.9919,0.0867,163.00
28,-5.056251,0.006369,0,0.00309724,0,0.0,-5.090959,0.006328,0.001499,1,0.3844,0.4413,0.1743,509.07,0.1743,0.0168,-5.0000,0.0800,161.50
29,-4.998642,0.006747,0,-0.00068019,0,0.0,-5.136185,0.006063,0.001508,1,0.3805,0.4465,0.1729,509.52,0.1729,0.0524,-5.0000,0.0800,175.70
30,-4.955795,0.007042,0,-0.00250485,0,0.0,-5.176833,0.005830,0.001484,1,0.3994,0.4441,0.1565,509.16,0.1565,0.0183,-4.9771,0.0819,162.70
31,-4.831695,0.007973,0,-0.00330061,0,0.0,-5.205695,0.005665,0.001442,1,0.4137,0.4421,0.1442,509.78,0.1442,0.0149,-4.9730,0.0800,161.50
32,-4.918358,0.007311,0,-0.00913623,0,0.0,-5.110041,0.006183,0.001354,1,0.3894,0.4531,0.1575,506.42,0.1575,0.0178,-5.0000,0.0800,161.00
33,-4.806149,0.008179,0,-0.00126641,0,0.0,-5.149715,0.005956,0.001365,1,0.4030,0.4506,0.1464,510.43,0.1464,0.0313,-5.0000,0.0801,163.20
34,-4.828200,0.008001,0,-0.00009945,0,0.0,-5.171357,0.005836,0.001369,1,0.3165,0.4894,0.1941,494.49,0.1941,0.1639,-4.9551,0.0854,229.10
35,-4.792928,0.008288,0,0.00606232,0,0.0,-5.148549,0.005952,0.001313,1,0.3231,0.4846,0.1922,509.89,0.1922,0.0133,-4.9908,0.0800,166.50
36,-4.767801,0.008499,0,0.00273137,0,0.0,-5.180826,0.005774,0.001326,1,0.3468,0.4817,0.1715,509.96,0.1715,0.0174,-5.0000,0.0800,164.30
37,-4.789117,0.008320,0,-0.00054657,0,0.0,-5.218006,0.005581,0.001358,1,0.3497,0.4812,0.1690,509.64,0.1690,0.0585,-5.0000,0.0800,178.60
38,-4.813434,0.008120,0,-0.00347213,0,0.0,-5.238520,0.005467,0.001328,1,0.3689,0.4758,0.1553,509.32,0.1553,0.0144,-4.9922,0.0811,186.70
39,-4.640810,0.009650,0,0.01995363,0,0.0,-5.064299,0.006475,0.001430,1,0.1784,0.5483,0.2733,417.76,0.1784,0.2540,-5.0000,0.0800,164.70
40,-4.624627,0.009807,0,0.00609911,0,0.0,-5.057063,0.006512,0.001388,1,0.2078,0.5341,0.2581,509.31,0.2078,0.0138,-5.0000,0.0833,165.40
41,-4.582790,0.010226,0,0.00834235,0,0.0,-5.023161,0.006725,0.001376,1,0.2330,0.5296,0.2374,509.62,0.2330,0.0150,-4.9728,0.0800,162.10
42,-4.626044,0.009793,0,0.00378366,0,0.0,-5.046556,0.006570,0.001350,1,0.2487,0.5312,0.2201,509.53,0.2201,0.0159,-4.9756,0.0800,161.70
43,-4.573822,0.010318,0,-0.00495130,0,0.0,-5.058466,0.006490,0.001325,1,0.2643,0.5294,0.2063,509.43,0.2063,0.0138,-5.0000,0.0800,161.70
44,-4.649320,0.009568,0,-0.00727207,0,0.0,-5.040975,0.006598,0.001313,1,0.2835,0.5232,0.1932,509.27,0.1932,0.0135,-5.0000,0.0800,161.50
45,-4.785318,0.008351,0,-0.00068443,0,0.0,-5.072699,0.006401,0.001320,1,0.2806,0.5259,0.1935,510.70,0.1935,0.0559,-4.9881,0.0800,180.90
46,-4.804635,0.008192,0,-0.01046355,0,0.0,-5.010556,0.006798,0.001336,1,0.2883,0.5206,0.1910,509.97,0.1910,0.0187,-4.9451,0.1160,161.90
47,-4.758929,0.008575,0,-0.01632571,0,0.0,-4.915378,0.007483,0.001496,1,0.2673,0.5243,0.2083,490.99,0.2083,0.0502,-4.9451,0.1160,161.70
48,-4.778697,0.008407,0,-0.00742627,0,0.0,-4.916739,0.007470,0.001483,1,0.2875,0.5183,0.1942,508.97,0.1942,0.0132,-4.9908,0.0800,218.30
49,-4.821552,0.008054,0,0.00616486,0,0.0,-4.928211,0.007387,0.001476,1,0.2995,0.5159,0.1846,509.70,0.1846,0.0132,-4.9923,0.0800,170.30
50,-4.718745,0.008926,0,0.00268411,0,0.0,-4.964326,0.007127,0.001437,1,0.3055,0.5162,0.1783,509.90,0.1783,0.0205,-5.0000,0.1480,176.40
51,-4.801019,0.008221,0,-0.00736811,0,0.0,-4.958239,0.007176,0.001476,1,0.3214,0.5118,0.1668,509.70,0.1668,0.0130,-4.9982,0.1063,205.70
52,-4.759404,0.008571,0,-0.00604672,0,0.0,-4.967780,0.007116,0.001502,1,0.3300,0.5093,0.1607,509.68,0.1607,0.0129,-5.0000,0.1251,161.80
53,-4.793801,0.008281,0,0.01042518,0,0.0,-4.920891,0.007456,0.001568,1,0.3467,0.5015,0.1518,510.42,0.1518,0.0160,-5.0000,0.0800,161.70
54,-4.693243,0.009157,0,0.00900640,0,0.0,-4.899364,0.007622,0.001620,1,0.3637,0.4938,0.1425,510.16,0.1425,0.0135,-4.9845,0.1240,162.00
55,-4.693620,0.009153,0,-0.02471146,0,0.0,-4.767714,0.008760,0.002154,1,0.2710,0.5348,0.1942,441.69,0.1942,0.1980,-5.0000,0.1055,159.50
56,-4.741971,0.008721,0,0.01440448,0,0.0,-4.700704,0.009383,0.002356,1,0.3282,0.5056,0.1662,506.10,0.1662,0.0205,-4.9903,0.0926,169.10
57,-4.707553,0.009027,0,0.00546676,0,0.0,-4.705801,0.009323,0.002285,1,0.3248,0.5236,0.1516,508.29,0.1516,0.0151,-4.9182,0.1057,182.70
58,-4.785831,0.008347,0,0.00349812,0,0.0,-4.744255,0.009030,0.002508,1,0.3266,0.5547,0.1187,508.81,0.1187,0.0197,-5.0000,0.1040,164.40
59,-4.743650,0.008707,0,-0.01223788,0,0.0,-4.671948,0.009763,0.003027,1,0.3501,0.5179,0.1320,508.75,0.1320,0.0154,-4.9874,0.0855,162.30
60,-4.775079,0.008437,0,-0.00801551,0,0.0,-4.690049,0.009627,0.003181,1,0.3641,0.5251,0.1108,509.35,0.1108,0.0131,-4.9913,0.1297,162.40
61,-4.746863,0.008679,0,0.00783016,0,0.0,-4.716427,0.009370,0.002988,1,0.3748,0.5286,0.0966,509.02,0.0966,0.0129,-5.0000,0.1499,162.10
62,-4.671565,0.009358,0,-0.00448334,0,0.0,-4.781013,0.008748,0.002507,1,0.3697,0.5391,0.0912,506.43,0.0912,0.0157,-5.0000,0.1246,159.10
63,-4.654577,0.009518,0,-0.00644416,0,0.0,-4.813051,0.008437,0.002261,1,0.3696,0.5379,0.0924,508.27,0.0924,0.0129,-5.0000,0.0800,159.50
64,-4.642677,0.009632,0,-0.00681875,0,0.0,-4.834645,0.008225,0.002104,1,0.3719,0.5323,0.0958,509.01,0.0958,0.0126,-5.0000,0.0800,158.30
65,-4.780336,0.008393,0,-0.01169837,0,0.0,-4.780198,0.008662,0.002128,1,0.3915,0.5134,0.0951,510.17,0.0951,0.0156,-5.0000,0.0844,158.10
66,-4.644315,0.009616,0,-0.00386112,0,0.0,-4.831766,0.008226,0.002032,1,0.3833,0.5132,0.1035,507.43,0.1035,0.0166,-4.9982,0.1063,159.70
67,-4.697191,0.009121,0,-0.00128692,0,0.0,-4.891117,0.007759,0.001954,1,0.3710,0.5159,0.1132,509.78,0.1132,0.0373,-5.0000,0.1499,162.20
68,-4.619995,0.009853,0,0.01003798,0,0.0,-4.848689,0.008075,0.001949,1,0.3855,0.5019,0.1126,510.11,0.1126,0.0143,-5.0000,0.0999,161.80
69,-4.586570,0.010188,0,-0.01001789,0,0.0,-4.818953,0.008306,0.001953,1,0.4017,0.4891,0.1092,510.24,0.1092,0.0137,-5.0000,0.1106,161.70
70,-4.579367,0.010261,0,0.01471959,0,0.0,-4.734306,0.009041,0.002123,1,0.4231,0.4721,0.1047,506.87,0.1047,0.0214,-5.0000,0.0858,162.60
71,-4.644410,0.009615,0,0.02073597,0,0.0,-4.608312,0.010307,0.002586,1,0.4368,0.4557,0.1075,476.27,0.1075,0.0442,-4.9675,0.0941,160.40
72,-4.721800,0.008899,0,0.00759927,0,0.0,-4.639288,0.009998,0.002548,1,0.4295,0.4567,0.1138,507.61,0.1138,0.0128,-5.0000,0.1029,163.50
73,-4.592854,0.010124,0,0.01559501,0,0.0,-4.568364,0.010745,0.002767,0,0.4756,0.4272,0.0972,508.00,0.0972,0.0179,-5.0193,0.0878,160.60
74,-4.587087,0.010182,0,0.00692128,0,0.0,-4.614673,0.010259,0.002662,0,0.4586,0.4357,0.1057,510.03,0.1057,0.0132,-5.0190,0.0879,160.30
75,-4.604866,0.010003,0,-0.00743707,0,0.0,-4.650176,0.009894,0.002560,0,0.4481,0.4409,0.1110,510.67,0.1110,0.0128,-5.0188,0.0880,162.10
76,-4.502942,0.011076,0,0.01525601,0,0.0,-4.580597,0.010612,0.002738,0,0.4898,0.4132,0.0970,508.18,0.0970,0.0174,-5.0185,0.0882,161.10
77,-4.622441,0.009829,0,-0.00509661,0,0.0,-4.642490,0.009977,0.002606,0,0.4623,0.4266,0.1111,509.31,0.1111,0.0154,-5.0183,0.0883,200.90
78,-4.668331,0.009388,0,-0.01343570,0,0.0,-4.595256,0.010455,0.002704,0,0.4960,0.4061,0.0978,510.03,0.0978,0.0148,-5.0199,0.0895,174.00
79,-4.597437,0.010078,0,0.01882646,0,0.0,-4.491795,0.011618,0.003044,0,0.5380,0.3758,0.0862,503.75,0.0862,0.0229,-5.0215,0.0908,160.90
80,-4.490173,0.011219,0,-0.00516653,0,0.0,-4.558401,0.010879,0.002915,0,0.5050,0.3915,0.1035,509.45,0.1035,0.0159,-5.0230,0.0919,159.30
81,-4.570221,0.010356,0,-0.00139111,0,0.0,-4.635206,0.010086,0.002771,0,0.4583,0.4160,0.1257,508.66,0.1257,0.0421,-5.0244,0.0930,161.20
82,-4.547645,0.010592,0,0.00609575,0,0.0,-4.685063,0.009583,0.002612,0,0.4387,0.4254,0.1359,510.10,0.1359,0.0139,-5.0257,0.0941,163.70
83,-4.545082,0.010619,0,0.01185427,0,0.0,-4.650689,0.009896,0.002604,0,0.4669,0.4117,0.1214,510.52,0.1214,0.0141,-5.0269,0.0951,162.70
84,-4.586684,0.010187,0,-0.01203011,0,0.0,-4.621431,0.010178,0.002627,0,0.4921,0.3987,0.1092,510.82,0.1092,0.0137,-5.0281,0.0960,163.20
85,-4.777681,0.008415,0,-0.01564027,0,0.0,-4.552879,0.010893,0.002766,0,0.5320,0.3733,0.0947,508.27,0.0947,0.0172,-5.0293,0.0969,164.90
86,-4.728648,0.008838,0,-0.00343592,0,0.0,-4.622006,0.010179,0.002657,0,0.4970,0.3921,0.1109,509.30,0.1109,0.0205,-5.0304,0.0978,163.10
87,-4.837873,0.007924,0,-0.00855693,0,0.0,-4.642132,0.009973,0.002595,0,0.4924,0.3956,0.1120,511.25,0.1120,0.0124,-5.0314,0.0986,164.30
88,-4.857079,0.007773,0,-0.00595951,0,0.0,-4.689914,0.009506,0.002483,0,0.4712,0.4077,0.1211,510.38,0.1211,0.0138,-5.0324,0.0993,189.10
89,-4.769225,0.008487,0,-0.00798517,0,0.0,-4.708556,0.009322,0.002405,0,0.4691,0.4103,0.1206,511.31,0.1206,0.0125,-5.0333,0.1001,186.90
90,-4.887346,0.007541,0,-0.00042156,0,0.0,-4.773413,0.008747,0.002296,1,0.3923,0.4496,0.1580,504.28,0.1580,0.0942,-5.0000,0.1140,225.90
91,-4.925391,0.007260,0,0.00591379,0,0.0,-4.810562,0.008414,0.002162,1,0.3860,0.4520,0.1619,509.11,0.1619,0.0136,-5.0000,0.1220,167.40
92,-4.876894,0.007621,0,0.00390693,0,0.0,-4.864254,0.007973,0.002046,1,0.3783,0.4579,0.1638,509.71,0.1638,0.0166,-5.0000,0.0922,163.60
93,-4.935298,0.007188,0,-0.00744128,0,0.0,-4.866719,0.007935,0.001961,1,0.3849,0.4580,0.1570,510.35,0.1570,0.0129,-5.0000,0.0808,161.90
94,-4.760791,0.008559,0,0.00558215,0,0.0,-4.895133,0.007706,0.001881,1,0.3838,0.4607,0.1555,510.26,0.1555,0.0134,-5.0000,0.1078,162.10
95,-4.755445,0.008605,0,-0.01657928,0,0.0,-4.774363,0.008681,0.002059,1,0.3885,0.4584,0.1531,502.68,0.1531,0.0345,-5.0000,0.0945,160.20
96,-4.831860,0.007972,0,-0.00470636,0,0.0,-4.817894,0.008318,0.002004,1,0.3763,0.4647,0.1590,509.74,0.1590,0.0151,-4.9971,0.1105,162.40
97,-4.860173,0.007749,0,0.01918442,0,0.0,-4.694954,0.009415,0.002293,1,0.4003,0.4466,0.1531,493.48,0.1531,0.0454,-5.0000,0.1040,161.00
98,-4.831374,0.007976,0,0.00020134,0,0.0,-4.762126,0.008812,0.002187,1,0.2895,0.4935,0.2170,492.83,0.2170,0.1566,-5.0000,0.1184,195.20
99,-4.842391,0.007888,0,0.00383475,0,0.0,-4.818489,0.008326,0.002065,1,0.2827,0.4947,0.2226,509.39,0.2226,0.0181,-4.9916,0.0930,180.30
100,-4.980033,0.006874,0,0.00263700,0,0.0,-4.875293,0.007868,0.001955,1,0.2790,0.5008,0.2202,509.32,0.2202,0.0229,-5.0000,0.1045,199.10
101,-4.901697,0.007434,0,-0.00284034,0,0.0,-4.929976,0.007452,0.001865,1,0.2808,0.5053,0.2138,509.75,0.2138,0.0208,-5.0000,0.0879,162.60
102,-4.734347,0.008788,0,-0.00410376,0,0.0,-4.969831,0.007160,0.001783,1,0.2863,0.5067,0.2070,509.75,0.2070,0.0157,-5.0000,0.0800,162.00
103,-4.663783,0.009431,0,0.00584191,0,0.0,-4.981107,0.007069,0.001715,1,0.2971,0.5059,0.1971,510.02,0.1971,0.0135,-4.9964,0.1191,162.00
104,-4.766408,0.008511,0,-0.01582619,0,0.0,-4.852900,0.008020,0.001885,1,0.2995,0.5026,0.1979,499.11,0.1979,0.0392,-5.0000,0.0800,160.70
105,-4.685059,0.009232,0,0.01391081,0,0.0,-4.775913,0.008658,0.002014,1,0.3406,0.4882,0.1713,507.57,0.1713,0.0217,-5.0000,0.0984,161.60
106,-4.795673,0.008265,0,-0.00893768,0,0.0,-4.773396,0.008681,0.002022,1,0.3590,0.4847,0.1564,509.98,0.1564,0.0130,-5.0000,0.0961,162.10
107,-4.723937,0.008880,0,-0.00399573,0,0.0,-4.822290,0.008275,0.001965,1,0.3486,0.4887,0.1627,509.93,0.1627,0.0168,-5.0000,0.0800,161.60
108,-4.832585,0.007966,0,0.00169062,0,0.0,-4.878688,0.007831,0.001901,1,0.3398,0.4934,0.1669,510.88,0.1669,0.0312,-4.9933,0.0800,161.30
109,-4.810426,0.008144,0,0.00146469,0,0.0,-4.935165,0.007409,0.001831,1,0.3357,0.4958,0.1685,511.12,0.1685,0.0336,-5.0000,0.0965,161.30
110,-4.772525,0.008459,0,0.00069037,0,0.0,-4.989817,0.007026,0.001780,1,0.3187,0.5012,0.1801,510.13,0.1801,0.0583,-4.9606,0.0800,176.50
111,-4.869054,0.007681,0,0.01881254,0,0.0,-4.832338,0.008206,0.002011,1,0.2829,0.5092,0.2078,482.73,0.2078,0.0720,-4.9606,0.0800,161.00
112,-4.950421,0.007080,0,0.00345332,0,0.0,-4.883761,0.007795,0.001911,1,0.2783,0.5116,0.2101,509.31,0.2101,0.0185,-4.9964,0.1191,187.10
113,-4.965421,0.006975,0,0.00289677,0,0.0,-4.934127,0.007413,0.001820,1,0.2782,0.5163,0.2055,509.84,0.2055,0.0203,-4.9630,0.0800,194.80
114,-4.871662,0.007661,0,-0.01196030,0,0.0,-4.861245,0.007953,0.001862,1,0.3099,0.5059,0.1842,508.66,0.1842,0.0192,-5.0000,0.0869,162.70
115,-4.890908,0.007515,0,0.00647098,0,0.0,-4.877514,0.007820,0.001811,1,0.3168,0.5060,0.1772,510.18,0.1772,0.0132,-5.0000,0.0862,162.40
116,-4.798823,0.008239,0,-0.01001509,0,0.0,-4.845793,0.008064,0.001829,1,0.3417,0.4987,0.1596,510.46,0.1596,0.0145,-4.9630,0.0800,167.30
117,-4.712525,0.008982,0,-0.01192581,0,0.0,-4.755712,0.008823,0.001980,1,0.3576,0.4705,0.1718,510.44,0.1718,0.0157,-4.9965,0.0800,199.60
118,-4.659302,0.009473,0,0.01243231,0,0.0,-4.671408,0.009663,0.002500,1,0.3714,0.4385,0.1901,509.43,0.1901,0.0154,-5.0000,0.0883,166.70
119,-4.620747,0.009845,0,-0.00065008,0,0.0,-4.699501,0.009547,0.003235,1,0.3456,0.4808,0.1736,507.80,0.1736,0.0770,-5.0000,0.0984,193.70
120,-4.678794,0.009290,0,-0.02335044,0,0.0,-4.436965,0.012661,0.005037,1,0.2723,0.4019,0.3257,438.30,0.2723,0.0584,-5.0000,0.0878,161.40
121,-4.668435,0.009387,0,0.00271231,0,0.0,-4.541910,0.011581,0.005426,1,0.3008,0.4782,0.2210,496.50,0.2210,0.0313,-5.0000,0.0901,173.60
122,-4.647042,0.009590,0,0.02046842,0,0.0,-4.304383,0.014839,0.007150,1,0.3137,0.3962,0.2901,438.88,0.2901,0.0301,-5.0000,0.0984,161.80
123,-4.713744,0.008971,0,-0.00871906,0,0.0,-4.390060,0.013689,0.006953,1,0.3583,0.4392,0.2025,499.37,0.2025,0.0157,-5.0000,0.0960,163.40
124,-4.769349,0.008486,0,0.00153194,0,0.0,-4.522005,0.012013,0.005979,1,0.3484,0.4837,0.1679,490.35,0.1679,0.0474,-4.9943,0.0800,175.10
125,-4.673940,0.009335,0,0.00308543,0,0.0,-4.658406,0.010280,0.004087,1,0.3422,0.5132,0.1446,490.84,0.1446,0.0239,-4.9042,0.1073,167.30
126,-4.636401,0.009693,0,-0.00661207,0,0.0,-4.727447,0.009399,0.003067,1,0.3441,0.5215,0.1344,502.17,0.1344,0.0138,-4.9626,0.1013,162.20
127,-4.634505,0.009711,0,-0.00190340,0,0.0,-4.813945,0.008530,0.002546,1,0.3298,0.5329,0.1374,503.48,0.1374,0.0299,-5.0000,0.0802,164.50
128,-4.666478,0.009405,0,-0.00706470,0,0.0,-4.836019,0.008267,0.002277,1,0.3344,0.5308,0.1348,508.06,0.1348,0.0130,-5.0000,0.0800,163.40
129,-4.777676,0.008416,0,-0.01781718,0,0.0,-4.691955,0.009606,0.002786,1,0.3587,0.5071,0.1343,485.52,0.1343,0.0373,-4.9851,0.0800,160.50
130,-4.667564,0.009395,0,-0.02303359,0,0.0,-4.507381,0.011763,0.003961,1,0.4020,0.4632,0.1348,428.60,0.1348,0.0610,-4.9797,0.0993,162.30
131,-4.694479,0.009146,0,0.00288994,0,0.0,-4.611207,0.010520,0.003329,1,0.3651,0.4848,0.1501,495.62,0.1501,0.0252,-5.0000,0.0883,165.20
132,-4.707508,0.009027,0,0.00017978,0,0.0,-4.694379,0.009690,0.003067,1,0.2552,0.5324,0.2124,489.64,0.2124,0.1754,-5.0000,0.0898,199.00
133,-4.770668,0.008475,0,0.00501357,0,0.0,-4.768261,0.008886,0.002560,1,0.2530,0.5299,0.2171,502.29,0.2171,0.0160,-5.0000,0.0800,164.00
134,-4.913691,0.007345,0,0.01159156,0,0.0,-4.730905,0.009176,0.002514,1,0.2918,0.5225,0.1857,508.63,0.1857,0.0159,-5.0000,0.0899,163.20
135,-4.769621,0.008484,0,0.00513540,0,0.0,-4.785553,0.008642,0.002255,1,0.2854,0.5258,0.1887,507.18,0.1887,0.0152,-5.0000,0.1167,161.90
136,-4.767250,0.008504,0,0.00639885,0,0.0,-4.815966,0.008362,0.002106,1,0.2898,0.5263,0.1838,508.70,0.1838,0.0136,-5.0000,0.0822,162.80
137,-4.765566,0.008518,0,0.00334712,0,0.0,-4.870510,0.007910,0.001962,1,0.2885,0.5272,0.1843,508.35,0.1843,0.0189,-4.9982,0.1063,164.00
138,-4.861624,0.007738,0,0.01622166,0,0.0,-4.761846,0.008804,0.002146,1,0.3127,0.5153,0.1720,502.36,0.1720,0.0320,-5.0000,0.0904,162.40
139,-4.803366,0.008202,0,-0.00712649,0,0.0,-4.783762,0.008607,0.002074,1,0.3166,0.5169,0.1665,509.92,0.1665,0.0131,-4.9655,0.0800,165.10
140,-4.846784,0.007854,0,0.00050070,0,0.0,-4.839101,0.008146,0.001965,1,0.2704,0.5334,0.1963,507.34,0.1963,0.0832,-4.9965,0.0800,196.20
141,-4.900177,0.007445,0,-0.00922470,0,0.0,-4.824205,0.008255,0.001934,1,0.2945,0.5263,0.1792,509.78,0.1792,0.0138,-4.9570,0.0884,162.60
142,-4.807274,0.008170,0,0.00112530,0,0.0,-4.877893,0.007824,0.001837,1,0.2851,0.5297,0.1852,510.85,0.1852,0.0439,-4.9715,0.0807,162.60
143,-4.843507,0.007879,0,0.00084335,0,0.0,-4.928343,0.007444,0.001764,1,0.2749,0.5319,0.1932,510.64,0.1932,0.0532,-4.9879,0.0867,172.80
144,-4.905071,0.007409,0,-0.00338118,0,0.0,-4.972687,0.007121,0.001690,1,0.2856,0.5293,0.1851,510.15,0.1851,0.0176,-3.0000,0.0800,162.40
145,-4.889275,0.007527,0,-0.01319982,0,0.0,-4.879295,0.007792,0.001740,1,0.2942,0.5260,0.1798,507.88,0.1798,0.0241,-3.0000,0.0925,160.80
146,-4.879362,0.007602,0,-0.00032535,0,0.0,-4.924091,0.007454,0.001676,1,0.2465,0.5392,0.2143,504.28,0.2143,0.1067,-4.9865,0.0949,204.50
147,-4.929170,0.007233,0,-0.00200371,0,0.0,-4.970943,0.007121,0.001635,1,0.2610,0.5335,0.2055,510.68,0.2055,0.0263,-5.0000,0.0911,161.70
148,-4.968771,0.006952,0,0.00475996,0,0.0,-4.994931,0.006950,0.001585,1,0.2737,0.5300,0.1963,509.76,0.1963,0.0143,-4.9567,0.0800,162.60
149,-5.123249,0.005957,0,0.00540286,0,0.0,-5.007764,0.006858,0.001545,1,0.2858,0.5288,0.1855,510.28,0.1855,0.0135,-5.0000,0.0936,169.70
150,-5.100214,0.006095,0,0.00940183,0,0.0,-4.962837,0.007155,0.001533,1,0.3005,0.5246,0.1749,510.30,0.1749,0.0153,-4.9568,0.1141,176.00
151,-5.052503,0.006393,0,-0.00168185,0,0.0,-5.010661,0.006851,0.001604,1,0.3110,0.5211,0.1679,511.23,0.1679,0.0285,-5.0000,0.1492,161.40
152,-5.001856,0.006725,0,0.00829754,0,0.0,-4.974727,0.007094,0.001625,1,0.3221,0.5156,0.1623,510.19,0.1623,0.0140,-4.9875,0.0832,161.00
153,-5.008640,0.006680,0,-0.01048093,0,0.0,-4.915355,0.007521,0.001689,1,0.3353,0.5101,0.1546,511.18,0.1546,0.0164,-5.0000,0.0800,161.70
154,-5.131884,0.005905,0,0.01089493,0,0.0,-4.863945,0.007921,0.001790,1,0.3539,0.5020,0.1440,510.66,0.1440,0.0160,-4.9992,0.1158,161.70
